citizen,undercover
doctor,enfermera
enfermera,doctor
síntoma,enfermedad
enfermedad,síntoma
virus,bacteria
bacteria,virus
pistola,disparo
disparo,pistola
disparo,crimen
crimen,disparo
víctima,sospechoso
sospechoso,víctima
policía,juez
juez,policía
profesor,alumno
alumno,profesor
examen,tarea
tarea,examen
mochila,lápiz
lápiz,mochila
bikini,toalla
sombrero,gorra
gorra,sombrero
toalla,bikini
película,actor
actor,película
árbol,hierba
hierba,árbol
vuelo,pasaporte
pasaporte,vuelo
gol,trofeo
trofeo,gol
cancha,partido
partido,cancha
maleta,reserva
reserva,maleta
hotel,turismo
turismo,hotel
internet,computadora
computadora,internet
cámara,pantalla
pantalla,cámara
tenedor,cuchara
cuchara,tenedor
mesa,comida
comida,mesa
ambulancia,quirófano
quirófano,ambulancia
mapa,viaje
viaje,mapa
canción,concierto
concierto,canción
canción,instrumento
cantante,banda
banda,cantante
cable,batería
batería,cable
mouse,teclado
teclado,mouse
bebida,comida
comida,bebida
vino,cerveza
cerveza,vino
flor,planta
planta,flor
sonido,música
música,sonido
película,serie
serie,película
